fever_removable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.5 MB
fever_removable v2 26 games, 18264 moves, e=0.982, loss: 3.8, +, 56.6% elo% vs. guard_bot, avg. reward: -10.313, 1.138 sec/game, 0.4 min. total, 448.9 MB
fever_removable v2 27 games, 18964 moves, e=0.981, loss: 4.3, +, 58.5% elo% vs. guard_bot, avg. reward: -10.311, 1.213 sec/game, 0.4 min. total, 449.6 MB
fever_removable v2 28 games, 19688 moves, e=0.981, loss: 3.7, +, 60.4% elo% vs. guard_bot, avg. reward: -10.291, 1.276 sec/game, 0.5 min. total, 451.6 MB
fever_removable v2 29 games, 20554 moves, e=0.980, loss: 3.7, +, 62.1% elo% vs. guard_bot, avg. reward: -10.207, 1.375 sec/game, 0.5 min. total, 449.5 MB
fever_removable v2 30 games, 21325 moves, e=0.979, loss: 3.9, +, 63.7% elo% vs. guard_bot, avg. reward: -10.163, 1.453 sec/game, 0.5 min. total, 451.0 MB
fever_removable v2 31 games, 22018 moves, e=0.978, loss: 3.5, +, 65.2% elo% vs. guard_bot, avg. reward: -10.168, 1.531 sec/game, 0.5 min. total, 449.9 MB
fever_removable v2 32 games, 22630 moves, e=0.978, loss: 3.4, +, 66.7% elo% vs. guard_bot, avg. reward: -10.225, 1.582 sec/game, 0.6 min. total, 451.0 MB
fever_removable v2 33 games, 23240 moves, e=0.977, loss: 3.1, +, 68.0% elo% vs. guard_bot, avg. reward: -10.284, 1.642 sec/game, 0.6 min. total, 451.1 MB
fever_removable v2 34 games, 23979 moves, e=0.976, loss: 3.3, +, 69.3% elo% vs. guard_bot, avg. reward: -10.273, 1.712 sec/game, 0.6 min. total, 454.1 MB
fever_removable v2 35 games, 24812 moves, e=0.975, loss: 2.7, +, 70.5% elo% vs. guard_bot, avg. reward: -10.226, 1.711 sec/game, 0.6 min. total, 452.6 MB
fever_removable v2 36 games, 25529 moves, e=0.975, loss: 2.8, +, 71.6% elo% vs. guard_bot, avg. reward: -10.213, 1.719 sec/game, 0.7 min. total, 454.6 MB
fever_removable v2 37 games, 26273 moves, e=0.974, loss: 2.9, +, 72.7% elo% vs. guard_bot, avg. reward: -10.192, 1.726 sec/game, 0.7 min. total, 455.5 MB
fever_removable v2 38 games, 26989 moves, e=0.973, loss: 2.8, +, 73.6% elo% vs. guard_bot, avg. reward: -10.183, 1.708 sec/game, 0.7 min. total, 459.2 MB
fever_removable v2 39 games, 27628 moves, e=0.973, loss: 2.7, ., 72.8% elo% vs. guard_bot, avg. reward: -10.215, 1.686 sec/game, 0.8 min. total, 461.2 MB
fever_removable v2 40 games, 28207 moves, e=0.972, loss: 3.1, +, 73.8% elo% vs. guard_bot, avg. reward: -10.275, 1.670 sec/game, 0.8 min. total, 461.2 MB
fever_removable v2 41 games, 28876 moves, e=0.971, loss: 3.0, +, 74.7% elo% vs. guard_bot, avg. reward: -10.287, 1.663 sec/game, 0.8 min. total, 461.2 MB
fever_removable v2 42 games, 29541 moves, e=0.971, loss: 3.0, +, 75.6% elo% vs. guard_bot, avg. reward: -10.288, 1.656 sec/game, 0.8 min. total, 458.0 MB
fever_removable v2 43 games, 30181 moves, e=0.970, loss: 3.0, ., 74.7% elo% vs. guard_bot, avg. reward: -10.308, 1.624 sec/game, 0.9 min. total, 461.2 MB
fever_removable v2 44 games, 30799 moves, e=0.970, loss: 2.7, ., 73.8% elo% vs. guard_bot, avg. reward: -10.339, 1.587 sec/game, 0.9 min. total, 461.3 MB
fever_removable v2 45 games, 31446 moves, e=0.969, loss: 2.8, +, 74.7% elo% vs. guard_bot, avg. reward: -10.359, 1.565 sec/game, 0.9 min. total, 458.0 MB
fever_removable v2 46 games, 32196 moves, e=0.968, loss: 3.0, +, 75.6% elo% vs. guard_bot, avg. reward: -10.333, 1.571 sec/game, 0.9 min. total, 459.7 MB
fever_removable v2 47 games, 32904 moves, e=0.967, loss: 3.0, +, 76.4% elo% vs. guard_bot, avg. reward: -10.319, 1.568 sec/game, 1.0 min. total, 460.4 MB
fever_removable v2 48 games, 33558 moves, e=0.967, loss: 3.1, +, 77.2% elo% vs. guard_bot, avg. reward: -10.333, 1.562 sec/game, 1.0 min. total, 461.5 MB
fever_removable v2 49 games, 34242 moves, e=0.966, loss: 2.9, +, 77.9% elo% vs. guard_bot, avg. reward: -10.336, 1.523 sec/game, 1.0 min. total, 463.7 MB
fever_removable v2 50 games, 34948 moves, e=0.965, loss: 2.7, +, 78.6% elo% vs. guard_bot, avg. reward: -10.333, 1.522 sec/game, 1.0 min. total, 462.9 MB
fever_removable v2 51 games, 35610 moves, e=0.965, loss: 3.1, +, 79.3% elo% vs. guard_bot, avg. reward: -10.344, 1.503 sec/game, 1.1 min. total, 463.0 MB
fever_removable v2 52 games, 36355 moves, e=0.964, loss: 3.3, +, 79.9% elo% vs. guard_bot, avg. reward: -10.330, 1.524 sec/game, 1.1 min. total, 463.0 MB
fever_removable v2 53 games, 37105 moves, e=0.963, loss: 3.0, +, 80.5% elo% vs. guard_bot, avg. reward: -10.310, 1.533 sec/game, 1.1 min. total, 463.0 MB
fever_removable v3 54 games, 37904 moves, e=0.962, loss: 3.3, -, 49.9% elo% vs. random_no_suicide, avg. reward: -10.285, 1.547 sec/game, 1.1 min. total, 461.3 MB
fever_removable v3 55 games, 38577 moves, e=0.962, loss: 3.4, -, 47.6% elo% vs. random_no_suicide, avg. reward: -10.290, 1.539 sec/game, 1.2 min. total, 463.4 MB
fever_removable v3 56 games, 39270 moves, e=0.961, loss: 3.3, -, 45.4% elo% vs. random_no_suicide, avg. reward: -10.291, 1.531 sec/game, 1.2 min. total, 462.9 MB
fever_removable v3 57 games, 40012 moves, e=0.960, loss: 3.6, +, 47.9% elo% vs. random_no_suicide, avg. reward: -10.283, 1.529 sec/game, 1.2 min. total, 466.1 MB
fever_removable v3 58 games, 40785 moves, e=0.960, loss: 3.9, +, 50.3% elo% vs. random_no_suicide, avg. reward: -10.262, 1.552 sec/game, 1.3 min. total, 465.1 MB
fever_removable v3 59 games, 41496 moves, e=0.959, loss: 3.7, +, 52.6% elo% vs. random_no_suicide, avg. reward: -10.256, 1.568 sec/game, 1.3 min. total, 466.3 MB
fever_removable v3 60 games, 42155 moves, e=0.958, loss: 3.6, -, 50.2% elo% vs. random_no_suicide, avg. reward: -10.267, 1.571 sec/game, 1.3 min. total, 465.0 MB
fever_removable v3 61 games, 42797 moves, e=0.958, loss: 3.2, -, 47.9% elo% vs. random_no_suicide, avg. reward: -10.281, 1.573 sec/game, 1.3 min. total, 466.4 MB
fever_removable v3 62 games, 43677 moves, e=0.957, loss: 3.1, -, 45.7% elo% vs. random_no_suicide, avg. reward: -10.245, 1.600 sec/game, 1.4 min. total, 465.3 MB
fever_removable v3 63 games, 44398 moves, e=0.956, loss: 3.0, -, 43.6% elo% vs. random_no_suicide, avg. reward: -10.240, 1.605 sec/game, 1.4 min. total, 466.3 MB
fever_removable v3 64 games, 45124 moves, e=0.955, loss: 3.0, -, 41.6% elo% vs. random_no_suicide, avg. reward: -10.237, 1.626 sec/game, 1.4 min. total, 469.2 MB
fever_removable v3 65 games, 45854 moves, e=0.955, loss: 2.8, -, 39.8% elo% vs. random_no_suicide, avg. reward: -10.236, 1.652 sec/game, 1.4 min. total, 469.0 MB
fever_removable v3 66 games, 46501 moves, e=0.954, loss: 3.0, -, 38.0% elo% vs. random_no_suicide, avg. reward: -10.253, 1.640 sec/game, 1.5 min. total, 468.9 MB
fever_removable v3 67 games, 47300 moves, e=0.953, loss: 3.3, -, 36.4% elo% vs. random_no_suicide, avg. reward: -10.233, 1.650 sec/game, 1.5 min. total, 470.4 MB
fever_removable v3 68 games, 48086 moves, e=0.952, loss: 3.6, -, 34.9% elo% vs. random_no_suicide, avg. reward: -10.212, 1.676 sec/game, 1.5 min. total, 469.2 MB
fever_removable v3 69 games, 48857 moves, e=0.952, loss: 3.6, -, 33.4% elo% vs. random_no_suicide, avg. reward: -10.203, 1.699 sec/game, 1.6 min. total, 469.3 MB
fever_removable v3 70 games, 49504 moves, e=0.951, loss: 3.6, -, 32.1% elo% vs. random_no_suicide, avg. reward: -10.214, 1.689 sec/game, 1.6 min. total, 471.5 MB
fever_removable v3 71 games, 50261 moves, e=0.950, loss: 3.7, -, 30.8% elo% vs. random_no_suicide, avg. reward: -10.201, 1.708 sec/game, 1.6 min. total, 469.5 MB
fever_removable v3 72 games, 50944 moves, e=0.950, loss: 3.3, -, 29.6% elo% vs. random_no_suicide, avg. reward: -10.204, 1.708 sec/game, 1.6 min. total, 469.2 MB
fever_removable v3 73 games, 51638 moves, e=0.949, loss: 3.5, -, 28.5% elo% vs. random_no_suicide, avg. reward: -10.202, 1.704 sec/game, 1.7 min. total, 469.2 MB
fever_removable v3 74 games, 52321 moves, e=0.948, loss: 3.5, +, 31.2% elo% vs. random_no_suicide, avg. reward: -10.206, 1.683 sec/game, 1.7 min. total, 470.6 MB
fever_removable v3 75 games, 53117 moves, e=0.947, loss: 3.8, -, 30.0% elo% vs. random_no_suicide, avg. reward: -10.190, 1.710 sec/game, 1.7 min. total, 469.6 MB
fever_removable v3 76 games, 53924 moves, e=0.947, loss: 4.0, ., 30.8% elo% vs. random_no_suicide, avg. reward: -10.174, 1.735 sec/game, 1.8 min. total, 469.5 MB
fever_removable v3 77 games, 54702 moves, e=0.946, loss: 4.3, -, 29.6% elo% vs. random_no_suicide, avg. reward: -10.162, 1.731 sec/game, 1.8 min. total, 469.5 MB
fever_removable v3 78 games, 55462 moves, e=0.945, loss: 4.5, -, 28.5% elo% vs. random_no_suicide, avg. reward: -10.153, 1.723 sec/game, 1.8 min. total, 469.9 MB
fever_removable v3 79 games, 56194 moves, e=0.944, loss: 4.7, -, 27.4% elo% vs. random_no_suicide, avg. reward: -10.153, 1.732 sec/game, 1.9 min. total, 471.4 MB
fever_removable v3 80 games, 56912 moves, e=0.944, loss: 4.5, -, 26.4% elo% vs. random_no_suicide, avg. reward: -10.147, 1.743 sec/game, 1.9 min. total, 470.3 MB
fever_removable v3 81 games, 57616 moves, e=0.943, loss: 4.7, -, 25.5% elo% vs. random_no_suicide, avg. reward: -10.148, 1.763 sec/game, 1.9 min. total, 471.6 MB
fever_removable v3 82 games, 58224 moves, e=0.942, loss: 5.1, -, 24.6% elo% vs. random_no_suicide, avg. reward: -10.171, 1.732 sec/game, 1.9 min. total, 470.6 MB
fever_removable v3 83 games, 58886 moves, e=0.942, loss: 4.6, -, 23.8% elo% vs. random_no_suicide, avg. reward: -10.175, 1.752 sec/game, 2.0 min. total, 472.9 MB
fever_removable v3 84 games, 59575 moves, e=0.941, loss: 4.6, -, 23.0% elo% vs. random_no_suicide, avg. reward: -10.176, 1.741 sec/game, 2.0 min. total, 470.5 MB
fever_removable v3 85 games, 60260 moves, e=0.940, loss: 4.4, -, 22.2% elo% vs. random_no_suicide, avg. reward: -10.180, 1.731 sec/game, 2.0 min. total, 470.6 MB
fever_removable v3 86 games, 60937 moves, e=0.940, loss: 4.3, -, 21.5% elo% vs. random_no_suicide, avg. reward: -10.182, 1.745 sec/game, 2.1 min. total, 472.2 MB
fever_removable v3 87 games, 61651 moves, e=0.939, loss: 4.1, -, 20.9% elo% vs. random_no_suicide, avg. reward: -10.177, 1.740 sec/game, 2.1 min. total, 473.0 MB
fever_removable v3 88 games, 62407 moves, e=0.938, loss: 3.8, -, 20.3% elo% vs. random_no_suicide, avg. reward: -10.168, 1.742 sec/game, 2.1 min. total, 473.3 MB
fever_removable v3 89 games, 63211 moves, e=0.937, loss: 3.9, -, 19.7% elo% vs. random_no_suicide, avg. reward: -10.151, 1.750 sec/game, 2.1 min. total, 473.4 MB
fever_removable v3 90 games, 63908 moves, e=0.937, loss: 4.2, -, 19.1% elo% vs. random_no_suicide, avg. reward: -10.148, 1.770 sec/game, 2.2 min. total, 473.5 MB
fever_removable v3 91 games, 64673 moves, e=0.936, loss: 3.9, +, 21.5% elo% vs. random_no_suicide, avg. reward: -10.142, 1.778 sec/game, 2.2 min. total, 474.9 MB
fever_removable v3 92 games, 65363 moves, e=0.935, loss: 3.9, -, 20.8% elo% vs. random_no_suicide, avg. reward: -10.144, 1.778 sec/game, 2.2 min. total, 473.9 MB
fever_removable v3 93 games, 66195 moves, e=0.934, loss: 3.7, -, 20.2% elo% vs. random_no_suicide, avg. reward: -10.125, 1.819 sec/game, 2.3 min. total, 473.9 MB
fever_removable v3 94 games, 66957 moves, e=0.934, loss: 3.6, -, 19.6% elo% vs. random_no_suicide, avg. reward: -10.116, 1.841 sec/game, 2.3 min. total, 476.8 MB
fever_removable v3 95 games, 67632 moves, e=0.933, loss: 3.7, -, 19.1% elo% vs. random_no_suicide, avg. reward: -10.123, 1.814 sec/game, 2.3 min. total, 478.8 MB
fever_removable v3 96 games, 68254 moves, e=0.932, loss: 3.8, -, 18.5% elo% vs. random_no_suicide, avg. reward: -10.140, 1.798 sec/game, 2.4 min. total, 475.8 MB
fever_removable v3 97 games, 69028 moves, e=0.932, loss: 3.5, ., 19.4% elo% vs. random_no_suicide, avg. reward: -10.129, 1.805 sec/game, 2.4 min. total, 477.0 MB
fever_removable v3 98 games, 69762 moves, e=0.931, loss: 3.5, -, 18.9% elo% vs. random_no_suicide, avg. reward: -10.125, 1.835 sec/game, 2.4 min. total, 475.5 MB
fever_removable v3 99 games, 70534 moves, e=0.930, loss: 3.5, -, 18.3% elo% vs. random_no_suicide, avg. reward: -10.119, 1.854 sec/game, 2.5 min. total, 475.4 MB
fever_removable v3 100 games, 71337 moves, e=0.929, loss: 3.4, -, 17.8% elo% vs. random_no_suicide, avg. reward: -10.104, 1.887 sec/game, 2.5 min. total, 475.8 MB
fever_removable v4 101 games, 72030 moves, e=0.929, loss: 3.3, -, 47.7% elo% vs. random_no_suicide, avg. reward: -10.119, 1.878 sec/game, 2.5 min. total, 477.1 MB
fever_removable v4 102 games, 72821 moves, e=0.928, loss: 3.2, -, 45.5% elo% vs. random_no_suicide, avg. reward: -10.112, 1.909 sec/game, 2.6 min. total, 479.3 MB
fever_removable v4 103 games, 73580 moves, e=0.927, loss: 3.2, -, 43.4% elo% vs. random_no_suicide, avg. reward: -10.119, 1.916 sec/game, 2.6 min. total, 478.3 MB
fever_removable v4 104 games, 74338 moves, e=0.926, loss: 2.9, -, 41.5% elo% vs. random_no_suicide, avg. reward: -10.094, 1.934 sec/game, 2.6 min. total, 478.3 MB
fever_removable v4 105 games, 75228 moves, e=0.926, loss: 2.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: -10.071, 1.965 sec/game, 2.7 min. total, 478.3 MB
fever_removable v4 106 games, 75958 moves, e=0.925, loss: 3.1, -, 37.9% elo% vs. random_no_suicide, avg. reward: -10.049, 1.973 sec/game, 2.7 min. total, 479.7 MB
fever_removable v4 107 games, 76754 moves, e=0.924, loss: 2.9, -, 36.3% elo% vs. random_no_suicide, avg. reward: -10.033, 1.984 sec/game, 2.7 min. total, 478.5 MB
fever_removable v4 108 games, 77460 moves, e=0.923, loss: 3.0, -, 34.8% elo% vs. random_no_suicide, avg. reward: -10.042, 1.985 sec/game, 2.8 min. total, 479.0 MB
fever_removable v4 109 games, 78155 moves, e=0.923, loss: 3.1, -, 33.3% elo% vs. random_no_suicide, avg. reward: -10.045, 1.963 sec/game, 2.8 min. total, 481.0 MB
fever_removable v4 110 games, 78869 moves, e=0.922, loss: 4.1, -, 32.0% elo% vs. random_no_suicide, avg. reward: -10.039, 1.960 sec/game, 2.8 min. total, 479.4 MB
fever_removable v4 111 games, 79615 moves, e=0.921, loss: 4.1, -, 30.7% elo% vs. random_no_suicide, avg. reward: -10.026, 1.945 sec/game, 2.9 min. total, 480.8 MB
fever_removable v4 112 games, 80384 moves, e=0.920, loss: 3.3, +, 33.5% elo% vs. random_no_suicide, avg. reward: -10.023, 1.971 sec/game, 2.9 min. total, 480.8 MB
fever_removable v4 113 games, 81123 moves, e=0.920, loss: 3.3, -, 32.1% elo% vs. random_no_suicide, avg. reward: -10.018, 1.938 sec/game, 2.9 min. total, 479.4 MB
fever_removable v4 114 games, 81869 moves, e=0.919, loss: 3.4, -, 30.8% elo% vs. random_no_suicide, avg. reward: -10.006, 1.940 sec/game, 3.0 min. total, 480.8 MB
fever_removable v4 115 games, 82613 moves, e=0.918, loss: 3.1, -, 29.6% elo% vs. random_no_suicide, avg. reward: -9.977, 1.958 sec/game, 3.0 min. total, 479.4 MB
fever_removable v4 116 games, 83237 moves, e=0.918, loss: 3.0, -, 28.5% elo% vs. random_no_suicide, avg. reward: -9.970, 1.954 sec/game, 3.0 min. total, 480.3 MB
fever_removable v4 117 games, 84030 moves, e=0.917, loss: 3.0, ., 29.3% elo% vs. random_no_suicide, avg. reward: -9.955, 1.963 sec/game, 3.1 min. total, 480.9 MB
fever_removable v4 118 games, 84682 moves, e=0.916, loss: 3.1, -, 28.2% elo% vs. random_no_suicide, avg. reward: -9.965, 1.924 sec/game, 3.1 min. total, 481.0 MB
fever_removable v4 119 games, 85405 moves, e=0.915, loss: 3.4, -, 27.2% elo% vs. random_no_suicide, avg. reward: -9.963, 1.904 sec/game, 3.1 min. total, 481.3 MB
fever_removable v4 120 games, 86211 moves, e=0.915, loss: 3.3, -, 26.2% elo% vs. random_no_suicide, avg. reward: -9.935, 1.884 sec/game, 3.1 min. total, 481.7 MB
fever_removable v4 121 games, 86943 moves, e=0.914, loss: 3.4, -, 25.3% elo% vs. random_no_suicide, avg. reward: -9.930, 1.893 sec/game, 3.2 min. total, 481.9 MB
fever_removable v4 122 games, 87663 moves, e=0.913, loss: 3.2, -, 24.4% elo% vs. random_no_suicide, avg. reward: -9.909, 1.873 sec/game, 3.2 min. total, 482.1 MB
fever_removable v4 123 games, 88314 moves, e=0.913, loss: 3.2, -, 23.6% elo% vs. random_no_suicide, avg. reward: -9.934, 1.851 sec/game, 3.2 min. total, 481.9 MB
fever_removable v4 124 games, 89031 moves, e=0.912, loss: 3.1, +, 26.2% elo% vs. random_no_suicide, avg. reward: -9.939, 1.849 sec/game, 3.3 min. total, 483.7 MB
fever_removable v4 125 games, 89789 moves, e=0.911, loss: 2.6, -, 25.3% elo% vs. random_no_suicide, avg. reward: -9.928, 1.845 sec/game, 3.3 min. total, 482.5 MB
fever_removable v4 126 games, 90592 moves, e=0.910, loss: 2.9, +, 28.0% elo% vs. random_no_suicide, avg. reward: -9.920, 1.850 sec/game, 3.3 min. total, 483.7 MB
fever_removable v4 127 games, 91331 moves, e=0.910, loss: 2.8, -, 27.0% elo% vs. random_no_suicide, avg. reward: -9.915, 1.848 sec/game, 3.4 min. total, 482.6 MB
fever_removable v4 128 games, 92120 moves, e=0.909, loss: 3.1, -, 26.0% elo% vs. random_no_suicide, avg. reward: -9.909, 1.851 sec/game, 3.4 min. total, 484.2 MB
fever_removable v4 129 games, 93028 moves, e=0.908, loss: 2.8, -, 25.1% elo% vs. random_no_suicide, avg. reward: -9.909, 1.887 sec/game, 3.4 min. total, 483.0 MB
fever_removable v4 130 games, 93756 moves, e=0.907, loss: 2.8, -, 24.2% elo% vs. random_no_suicide, avg. reward: -9.916, 1.886 sec/game, 3.5 min. total, 485.7 MB
fever_removable v4 131 games, 94536 moves, e=0.906, loss: 2.7, +, 26.9% elo% vs. random_no_suicide, avg. reward: -9.900, 1.903 sec/game, 3.5 min. total, 485.2 MB
fever_removable v4 132 games, 95291 moves, e=0.906, loss: 2.7, -, 25.9% elo% vs. random_no_suicide, avg. reward: -9.875, 1.888 sec/game, 3.5 min. total, 484.1 MB
fever_removable v4 133 games, 95919 moves, e=0.905, loss: 2.8, -, 25.0% elo% vs. random_no_suicide, avg. reward: -9.867, 1.884 sec/game, 3.6 min. total, 485.3 MB
fever_removable v4 134 games, 96679 moves, e=0.904, loss: 2.9, +, 27.7% elo% vs. random_no_suicide, avg. reward: -9.863, 1.886 sec/game, 3.6 min. total, 485.4 MB
fever_removable v4 135 games, 97209 moves, e=0.904, loss: 2.8, +, 30.4% elo% vs. random_no_suicide, avg. reward: -9.914, 1.864 sec/game, 3.6 min. total, 485.5 MB
fever_removable v4 136 games, 97912 moves, e=0.903, loss: 2.9, +, 33.2% elo% vs. random_no_suicide, avg. reward: -9.916, 1.868 sec/game, 3.6 min. total, 485.5 MB
fever_removable v4 137 games, 98608 moves, e=0.902, loss: 2.9, -, 31.9% elo% vs. random_no_suicide, avg. reward: -9.927, 1.859 sec/game, 3.7 min. total, 484.3 MB
fever_removable v4 138 games, 99271 moves, e=0.902, loss: 2.9, -, 30.6% elo% vs. random_no_suicide, avg. reward: -9.938, 1.860 sec/game, 3.7 min. total, 486.5 MB
fever_removable v4 139 games, 100089 moves, e=0.901, loss: 3.1, -, 29.4% elo% vs. random_no_suicide, avg. reward: -9.912, 1.866 sec/game, 3.7 min. total, 485.1 MB
fever_removable v4 140 games, 100925 moves, e=0.900, loss: 2.8, -, 28.3% elo% vs. random_no_suicide, avg. reward: -9.871, 1.900 sec/game, 3.8 min. total, 486.8 MB
fever_removable v4 141 games, 101640 moves, e=0.899, loss: 2.6, -, 27.3% elo% vs. random_no_suicide, avg. reward: -9.865, 1.905 sec/game, 3.8 min. total, 487.0 MB
fever_removable v4 142 games, 102377 moves, e=0.899, loss: 2.8, -, 26.3% elo% vs. random_no_suicide, avg. reward: -9.858, 1.908 sec/game, 3.8 min. total, 486.9 MB
fever_removable v4 143 games, 103056 moves, e=0.898, loss: 2.7, -, 25.4% elo% vs. random_no_suicide, avg. reward: -9.851, 1.922 sec/game, 3.9 min. total, 486.8 MB
